Primary_Key,Rank,Nom,Club,Selection,Poste,Points,Year,Confederation,Type
1,1,Lothar Matthaus,Inter Milan,Germany,Attaquant,137.0,1990,UEFA,1
2,2,Salvatore Schillaci,Juventus FC,Italy,Attaquant,84.0,1990,UEFA,1
3,3,Andreas Brehme,Inter Milan,Germany,Attaquant,68.0,1990,UEFA,1
4,4,Paul Gascoigne,Tottenham Hotspur,England,Attaquant,43.0,1990,UEFA,1
5,5,Franco Baresi,Milan AC,Italy,Attaquant,37.0,1990,UEFA,1
6,6,Enzo Scifo,Auxerre,Belgium,Attaquant,12.0,1990,UEFA,1
7,6,Jurgen Klinsmann,Inter Milan,Germany,Attaquant,12.0,1990,UEFA,1
8,8,Roberto Baggio,Fiorentina  Juventus FC,Italy,Attaquant,8.0,1990,UEFA,1
9,9,Frank Rijkaard,Milan AC,Netherlands,Attaquant,7.0,1990,UEFA,1
10,10,Guido Buchwald,VfB Stuttgart,Germany,Attaquant,6.0,1990,UEFA,1
11,11,Jean-Pierre Papin,Marseille,France,Attaquant,3.0,1990,UEFA,1
12,12,Rafael Martin Vazquez,Real Madrid  Torino,Spain,Attaquant,2.0,1990,UEFA,1
13,12,Paul McGrath,Aston Villa,Republic of Ireland,Attaquant,2.0,1990,UEFA,1
14,12,Robert Prosinecki,Red Star Belgrade,Yugoslavia,Attaquant,2.0,1990,UEFA,1
15,12,Des Walker,Nottingham Forest,England,Attaquant,2.0,1990,UEFA,1
16,12,Walter Zenga,Inter Milan,Italy,Attaquant,2.0,1990,UEFA,1
17,12,Dragan Stojkovic,Red Star Belgrade  Marseille,Yugoslavia,Attaquant,2.0,1990,UEFA,1
18,18,John Barnes,Liverpool,England,Attaquant,1.0,1990,UEFA,1
19,18,Michael Laudrup,Barcelona,Denmark,Attaquant,1.0,1990,UEFA,1
20,18,Gary Lineker,Tottenham Hotspur,England,Attaquant,1.0,1990,UEFA,1
21,18,David Platt,Aston Villa,England,Attaquant,1.0,1990,UEFA,1
22,18,Rudi Voller,Roma,Germany,Attaquant,1.0,1990,UEFA,1
23,18,Chris Waddle,Marseille,England,Attaquant,1.0,1990,UEFA,1
24,1,Jean-Pierre Papin,Marseille,France,Attaquant,141.0,1991,UEFA,1
25,2,Dejan Savicevic,Red Star Belgrade,Yougoslavie,Attaquant,42.0,1991,UEFA,1
26,2,Darko Pancev,Red Star Belgrade,Yougoslavie,Attaquant,42.0,1991,UEFA,1
27,2,Lothar Matthaus,Inter Milan,Allemagne,Attaquant,42.0,1991,UEFA,1
28,5,Robert Prosinecki,Red Star Belgrade  Real Madrid,Yougoslavie,Attaquant,34.0,1991,UEFA,1
